"","V1"
"inaug_AbrahamLincoln_1_50",6
"inaug_AbrahamLincoln_1_51",2
"inaug_AbrahamLincoln_1_52",7
"inaug_AbrahamLincoln_1_53",6
"inaug_AbrahamLincoln_1_54",13
"inaug_AbrahamLincoln_1_55",13
"inaug_AbrahamLincoln_1_56",6
"inaug_AbrahamLincoln_1_57",6
"inaug_AbrahamLincoln_1_58",6
"inaug_AbrahamLincoln_1_59",11
"inaug_AbrahamLincoln_1_60",14
"inaug_AbrahamLincoln_1_61",14
"inaug_AbrahamLincoln_1_62",3
"inaug_AbrahamLincoln_1_63",3
"inaug_AbrahamLincoln_1_64",3
"inaug_AbrahamLincoln_1_65",3
"inaug_AbrahamLincoln_1_66",2
"inaug_AbrahamLincoln_1_67",2
"inaug_AbrahamLincoln_1_68",14
"inaug_AbrahamLincoln_1_69",2
"inaug_AbrahamLincoln_1_70",2
"inaug_AbrahamLincoln_1_71",11
"inaug_AbrahamLincoln_1_72",12
"inaug_AbrahamLincoln_1_73",2
"inaug_AbrahamLincoln_1_74",11
"inaug_AbrahamLincoln_1_75",11
"inaug_AbrahamLincoln_1_76",11
"inaug_AbrahamLincoln_1_77",2
"inaug_AbrahamLincoln_1_78",2
"inaug_AbrahamLincoln_1_79",2
"inaug_AbrahamLincoln_1_80",2
"inaug_AbrahamLincoln_1_81",11
"inaug_AbrahamLincoln_1_82",11
"inaug_AbrahamLincoln_1_83",11
"inaug_AbrahamLincoln_1_84",11
"inaug_AbrahamLincoln_1_85",11
"inaug_AbrahamLincoln_1_86",11
"inaug_AbrahamLincoln_1_87",11
"inaug_AbrahamLincoln_1_88",11
"inaug_AbrahamLincoln_1_89",10
"inaug_AbrahamLincoln_1_90",11
"inaug_AbrahamLincoln_1_91",10
"inaug_AbrahamLincoln_1_92",11
"inaug_AbrahamLincoln_1_93",11
"inaug_AbrahamLincoln_1_94",11
"inaug_AbrahamLincoln_1_95",11
"inaug_AbrahamLincoln_1_96",11
"inaug_AbrahamLincoln_1_97",11
"inaug_AbrahamLincoln_1_98",11
"inaug_AbrahamLincoln_1_99",7
"inaug_AbrahamLincoln_1_100",11
"inaug_AbrahamLincoln_1_101",2
"inaug_AbrahamLincoln_1_102",2
"inaug_AbrahamLincoln_1_103",11
"inaug_AbrahamLincoln_1_104",11
"inaug_AbrahamLincoln_1_105",11
"inaug_AbrahamLincoln_1_106",11
"inaug_AbrahamLincoln_1_107",10
"inaug_AbrahamLincoln_1_108",15
"inaug_AbrahamLincoln_1_109",15
"inaug_AbrahamLincoln_1_110",15
"inaug_AbrahamLincoln_1_111",15
"inaug_AbrahamLincoln_1_112",15
"inaug_AbrahamLincoln_1_113",15
"inaug_AbrahamLincoln_1_114",11
"inaug_AbrahamLincoln_1_115",2
"inaug_AbrahamLincoln_1_116",2
"inaug_AbrahamLincoln_1_117",2
"inaug_AbrahamLincoln_1_118",2
"inaug_AbrahamLincoln_1_119",6
"inaug_AbrahamLincoln_1_120",6
"inaug_AbrahamLincoln_1_121",2
"inaug_AbrahamLincoln_1_122",2
"inaug_AbrahamLincoln_1_123",2
"inaug_AbrahamLincoln_1_124",7
"inaug_AbrahamLincoln_1_125",7
"inaug_AbrahamLincoln_1_126",7
"inaug_AbrahamLincoln_1_127",5
"inaug_AbrahamLincoln_1_128",4
"inaug_AbrahamLincoln_1_129",7
"inaug_AbrahamLincoln_1_130",7
"inaug_AbrahamLincoln_1_131",7
"inaug_AbrahamLincoln_1_132",7
"inaug_AbrahamLincoln_1_133",15
"inaug_AbrahamLincoln_1_134",15
"inaug_AbrahamLincoln_1_135",2
"inaug_AbrahamLincoln_1_136",2
"inaug_AbrahamLincoln_1_137",10
"inaug_AbrahamLincoln_1_138",1
"inaug_AbrahamLincoln_1_139",11
"inaug_AbrahamLincoln_1_140",1
"inaug_AbrahamLincoln_1_141",7
"inaug_AbrahamLincoln_1_142",6
"inaug_AbrahamLincoln_1_143",15
"inaug_AbrahamLincoln_1_144",6
"inaug_AbrahamLincoln_1_145",3
"inaug_AbrahamLincoln_1_146",15
"inaug_AbrahamLincoln_1_147",3
"inaug_UlyssesSGrant_1_2",6
"inaug_UlyssesSGrant_1_3",6
"inaug_UlyssesSGrant_1_4",6
"inaug_UlyssesSGrant_1_5",6
"inaug_UlyssesSGrant_1_6",6
"inaug_UlyssesSGrant_1_7",10
"inaug_UlyssesSGrant_1_8",10
"inaug_UlyssesSGrant_1_9",2
"inaug_UlyssesSGrant_1_10",2
"inaug_UlyssesSGrant_1_11",4
"inaug_UlyssesSGrant_1_12",11
"inaug_UlyssesSGrant_1_13",11
"inaug_UlyssesSGrant_1_14",13
"inaug_UlyssesSGrant_1_15",2
"inaug_UlyssesSGrant_1_16",5
"inaug_UlyssesSGrant_1_17",5
"inaug_UlyssesSGrant_1_18",5
"inaug_UlyssesSGrant_1_19",5
"inaug_UlyssesSGrant_1_20",5
"inaug_UlyssesSGrant_1_21",5
"inaug_UlyssesSGrant_1_22",5
"inaug_UlyssesSGrant_1_23",5
"inaug_UlyssesSGrant_1_24",5
"inaug_UlyssesSGrant_1_25",5
"inaug_UlyssesSGrant_1_26",5
"inaug_UlyssesSGrant_1_27",4
"inaug_UlyssesSGrant_1_28",13
"inaug_UlyssesSGrant_1_29",1
"inaug_UlyssesSGrant_1_30",5
"inaug_UlyssesSGrant_1_31",5
"inaug_UlyssesSGrant_1_32",5
"inaug_UlyssesSGrant_1_33",1
"inaug_UlyssesSGrant_1_34",5
"inaug_UlyssesSGrant_1_35",6
"inaug_UlyssesSGrant_1_36",1
"inaug_UlyssesSGrant_1_37",1
"inaug_UlyssesSGrant_1_38",11
"inaug_UlyssesSGrant_1_39",11
"inaug_UlyssesSGrant_1_40",11
"inaug_UlyssesSGrant_1_41",11
"inaug_UlyssesSGrant_1_42",2
"inaug_UlyssesSGrant_1_43",2
"inaug_RutherfordBHayes_1_2",11
"inaug_RutherfordBHayes_1_3",11
"inaug_RutherfordBHayes_1_4",11
"inaug_RutherfordBHayes_1_5",11
"inaug_RutherfordBHayes_1_6",11
"inaug_RutherfordBHayes_1_7",11
"inaug_RutherfordBHayes_1_8",11
"inaug_RutherfordBHayes_1_9",11
"inaug_RutherfordBHayes_1_10",11
"inaug_RutherfordBHayes_1_11",11
"inaug_RutherfordBHayes_1_12",11
"inaug_RutherfordBHayes_1_13",2
"inaug_RutherfordBHayes_1_14",7
"inaug_RutherfordBHayes_1_15",11
"inaug_RutherfordBHayes_1_16",11
"inaug_RutherfordBHayes_1_17",11
"inaug_RutherfordBHayes_1_18",11
"inaug_RutherfordBHayes_1_19",7
"inaug_RutherfordBHayes_1_20",7
"inaug_RutherfordBHayes_1_21",7
"inaug_RutherfordBHayes_1_22",7
"inaug_RutherfordBHayes_1_23",2
"inaug_RutherfordBHayes_1_24",13
"inaug_RutherfordBHayes_1_25",8
"inaug_RutherfordBHayes_1_26",5
"inaug_RutherfordBHayes_1_27",5
"inaug_RutherfordBHayes_1_28",13
"inaug_RutherfordBHayes_1_29",13
"inaug_RutherfordBHayes_1_30",13
"inaug_RutherfordBHayes_1_31",13
"inaug_RutherfordBHayes_1_32",13
"inaug_RutherfordBHayes_1_33",10
"inaug_RutherfordBHayes_1_34",6
"inaug_RutherfordBHayes_1_35",6
"inaug_RutherfordBHayes_1_36",6
"inaug_RutherfordBHayes_1_37",6
"inaug_RutherfordBHayes_1_38",11
"inaug_RutherfordBHayes_1_39",11
"inaug_RutherfordBHayes_1_40",11
"inaug_RutherfordBHayes_1_41",11
"inaug_RutherfordBHayes_1_42",11
"inaug_RutherfordBHayes_1_43",6
"inaug_RutherfordBHayes_1_44",4
"inaug_RutherfordBHayes_1_45",5
"inaug_RutherfordBHayes_1_46",5
"inaug_RutherfordBHayes_1_47",5
"inaug_RutherfordBHayes_1_48",5
"inaug_RutherfordBHayes_1_49",5
"inaug_RutherfordBHayes_1_50",1
"inaug_RutherfordBHayes_1_51",1
"inaug_RutherfordBHayes_1_52",1
"inaug_RutherfordBHayes_1_53",4
"inaug_RutherfordBHayes_1_54",11
"inaug_RutherfordBHayes_1_55",11
"inaug_RutherfordBHayes_1_56",11
"inaug_RutherfordBHayes_1_57",11
"inaug_RutherfordBHayes_1_58",11
"inaug_RutherfordBHayes_1_59",11
"inaug_RutherfordBHayes_1_60",11
"inaug_RutherfordBHayes_1_61",11
"inaug_RutherfordBHayes_1_62",11
"inaug_RutherfordBHayes_1_63",11
"inaug_RutherfordBHayes_1_64",11
"inaug_RutherfordBHayes_1_65",11
"inaug_RutherfordBHayes_1_66",7
"inaug_JamesGarfield_1_2",4
"inaug_JamesGarfield_1_3",2
"inaug_JamesGarfield_1_4",2
"inaug_JamesGarfield_1_5",4
"inaug_JamesGarfield_1_6",4
"inaug_JamesGarfield_1_7",4
"inaug_JamesGarfield_1_8",4
"inaug_JamesGarfield_1_9",4
"inaug_JamesGarfield_1_10",4
"inaug_JamesGarfield_1_11",4
"inaug_JamesGarfield_1_12",2
"inaug_JamesGarfield_1_13",2
"inaug_JamesGarfield_1_14",4
"inaug_JamesGarfield_1_15",4
"inaug_JamesGarfield_1_16",4
"inaug_JamesGarfield_1_17",4
"inaug_JamesGarfield_1_18",4
"inaug_JamesGarfield_1_19",4
"inaug_JamesGarfield_1_20",4
"inaug_JamesGarfield_1_21",2
"inaug_JamesGarfield_1_22",2
"inaug_JamesGarfield_1_23",2
"inaug_JamesGarfield_1_24",2
"inaug_JamesGarfield_1_25",2
"inaug_JamesGarfield_1_26",13
"inaug_JamesGarfield_1_27",12
"inaug_JamesGarfield_1_28",1
"inaug_JamesGarfield_1_29",12
"inaug_JamesGarfield_1_30",7
"inaug_JamesGarfield_1_31",7
"inaug_JamesGarfield_1_32",4
"inaug_JamesGarfield_1_33",4
"inaug_JamesGarfield_1_34",13
"inaug_JamesGarfield_1_35",15
"inaug_JamesGarfield_1_36",15
"inaug_JamesGarfield_1_37",15
"inaug_JamesGarfield_1_38",14
"inaug_JamesGarfield_1_39",14
"inaug_JamesGarfield_1_40",14
"inaug_JamesGarfield_1_41",14
"inaug_JamesGarfield_1_42",2
"inaug_JamesGarfield_1_43",2
"inaug_JamesGarfield_1_44",13
"inaug_JamesGarfield_1_45",13
"inaug_JamesGarfield_1_46",13
"inaug_JamesGarfield_1_47",3
"inaug_JamesGarfield_1_48",13
"inaug_JamesGarfield_1_49",13
"inaug_JamesGarfield_1_50",2
"inaug_JamesGarfield_1_51",7
"inaug_JamesGarfield_1_52",4
"inaug_JamesGarfield_1_53",2
"inaug_JamesGarfield_1_54",1
"inaug_JamesGarfield_1_55",13
"inaug_JamesGarfield_1_56",13
"inaug_JamesGarfield_1_57",13
"inaug_JamesGarfield_1_58",7
"inaug_JamesGarfield_1_59",3
"inaug_JamesGarfield_1_60",3
"inaug_JamesGarfield_1_61",3
"inaug_JamesGarfield_1_62",13
"inaug_JamesGarfield_1_63",13
"inaug_JamesGarfield_1_64",7
"inaug_JamesGarfield_1_65",13
"inaug_JamesGarfield_1_66",7
"inaug_JamesGarfield_1_67",13
"inaug_JamesGarfield_1_68",9
"inaug_JamesGarfield_1_69",11
"inaug_JamesGarfield_1_70",11
"inaug_JamesGarfield_1_71",11
"inaug_JamesGarfield_1_72",13
"inaug_JamesGarfield_1_73",13
"inaug_JamesGarfield_1_74",3
"inaug_JamesGarfield_1_75",5
"inaug_JamesGarfield_1_76",4
"inaug_JamesGarfield_1_77",5
"inaug_JamesGarfield_1_78",5
"inaug_JamesGarfield_1_79",5
"inaug_JamesGarfield_1_80",5
"inaug_JamesGarfield_1_81",5
"inaug_JamesGarfield_1_82",5
"inaug_JamesGarfield_1_83",5
"inaug_JamesGarfield_1_84",5
"inaug_JamesGarfield_1_85",5
"inaug_JamesGarfield_1_86",5
"inaug_JamesGarfield_1_87",5
"inaug_JamesGarfield_1_88",5
"inaug_JamesGarfield_1_89",5
"inaug_JamesGarfield_1_90",11
"inaug_JamesGarfield_1_91",10
"inaug_JamesGarfield_1_92",13
"inaug_JamesGarfield_1_93",13
"inaug_JamesGarfield_1_94",13
"inaug_JamesGarfield_1_95",13
"inaug_JamesGarfield_1_96",13
"inaug_JamesGarfield_1_97",13
"inaug_JamesGarfield_1_98",13
"inaug_JamesGarfield_1_99",10
"inaug_JamesGarfield_1_100",13
"inaug_JamesGarfield_1_101",2
"inaug_JamesGarfield_1_102",2
"inaug_JamesGarfield_1_103",2
"inaug_JamesGarfield_1_104",2
"inaug_JamesGarfield_1_105",2
"inaug_JamesGarfield_1_106",2
"inaug_JamesGarfield_1_107",2
"inaug_JamesGarfield_1_108",2
"inaug_JamesGarfield_1_109",2
"inaug_JamesGarfield_1_110",6
"inaug_JamesGarfield_1_111",6
"inaug_JamesGarfield_1_112",6
"inaug_JamesGarfield_1_113",6
"inaug_JamesGarfield_1_114",5
"inaug_JamesGarfield_1_115",6
"inaug_JamesGarfield_1_116",7
"inaug_BenjaminHarrison_1_2",6
"inaug_BenjaminHarrison_1_3",6
"inaug_BenjaminHarrison_1_4",6
"inaug_BenjaminHarrison_1_5",2
"inaug_BenjaminHarrison_1_6",2
"inaug_BenjaminHarrison_1_7",14
"inaug_BenjaminHarrison_1_8",11
"inaug_BenjaminHarrison_1_9",14
"inaug_BenjaminHarrison_1_10",4
"inaug_BenjaminHarrison_1_11",4
"inaug_BenjaminHarrison_1_12",4
"inaug_BenjaminHarrison_1_13",4
"inaug_BenjaminHarrison_1_14",4
"inaug_BenjaminHarrison_1_15",4
"inaug_BenjaminHarrison_1_16",4
"inaug_BenjaminHarrison_1_17",4
"inaug_BenjaminHarrison_1_18",4
"inaug_BenjaminHarrison_1_19",4
"inaug_BenjaminHarrison_1_20",7
"inaug_BenjaminHarrison_1_21",7
"inaug_BenjaminHarrison_1_22",7
"inaug_BenjaminHarrison_1_23",7
"inaug_BenjaminHarrison_1_24",4
"inaug_BenjaminHarrison_1_25",6
"inaug_BenjaminHarrison_1_26",6
"inaug_BenjaminHarrison_1_27",7
"inaug_BenjaminHarrison_1_28",4
"inaug_BenjaminHarrison_1_29",7
"inaug_BenjaminHarrison_1_30",5
"inaug_BenjaminHarrison_1_31",7
"inaug_BenjaminHarrison_1_32",13
"inaug_BenjaminHarrison_1_33",13
"inaug_BenjaminHarrison_1_34",13
"inaug_BenjaminHarrison_1_35",13
"inaug_BenjaminHarrison_1_36",13
"inaug_BenjaminHarrison_1_37",13
"inaug_BenjaminHarrison_1_38",7
"inaug_BenjaminHarrison_1_39",7
"inaug_BenjaminHarrison_1_40",11
"inaug_BenjaminHarrison_1_41",11
"inaug_BenjaminHarrison_1_42",9
"inaug_BenjaminHarrison_1_43",9
"inaug_BenjaminHarrison_1_44",9
"inaug_BenjaminHarrison_1_45",9
"inaug_BenjaminHarrison_1_46",9
"inaug_BenjaminHarrison_1_47",14
"inaug_BenjaminHarrison_1_48",2
"inaug_BenjaminHarrison_1_49",2
"inaug_BenjaminHarrison_1_50",9
"inaug_BenjaminHarrison_1_51",9
"inaug_BenjaminHarrison_1_52",9
"inaug_BenjaminHarrison_1_53",9
"inaug_BenjaminHarrison_1_54",13
"inaug_BenjaminHarrison_1_55",13
"inaug_BenjaminHarrison_1_56",13
"inaug_BenjaminHarrison_1_57",13
"inaug_BenjaminHarrison_1_58",13
"inaug_BenjaminHarrison_1_59",13
"inaug_BenjaminHarrison_1_60",6
"inaug_BenjaminHarrison_1_61",2
"inaug_BenjaminHarrison_1_62",2
"inaug_BenjaminHarrison_1_63",2
"inaug_BenjaminHarrison_1_64",6
"inaug_BenjaminHarrison_1_65",6
"inaug_BenjaminHarrison_1_66",2
"inaug_BenjaminHarrison_1_67",2
"inaug_BenjaminHarrison_1_68",2
"inaug_BenjaminHarrison_1_69",2
"inaug_BenjaminHarrison_1_70",11
"inaug_BenjaminHarrison_1_71",13
"inaug_BenjaminHarrison_1_72",15
"inaug_BenjaminHarrison_1_73",15
"inaug_BenjaminHarrison_1_74",15
"inaug_BenjaminHarrison_1_75",13
"inaug_BenjaminHarrison_1_76",2
"inaug_BenjaminHarrison_1_77",6
"inaug_BenjaminHarrison_1_78",6
"inaug_BenjaminHarrison_1_79",6
"inaug_BenjaminHarrison_1_80",6
"inaug_BenjaminHarrison_1_81",7
"inaug_BenjaminHarrison_1_82",1
"inaug_BenjaminHarrison_1_83",1
"inaug_BenjaminHarrison_1_84",1
"inaug_BenjaminHarrison_1_85",1
"inaug_BenjaminHarrison_1_86",1
"inaug_BenjaminHarrison_1_87",7
"inaug_BenjaminHarrison_1_88",7
"inaug_BenjaminHarrison_1_89",7
"inaug_BenjaminHarrison_1_90",6
"inaug_BenjaminHarrison_1_91",6
"inaug_BenjaminHarrison_1_92",6
"inaug_BenjaminHarrison_1_93",6
"inaug_BenjaminHarrison_1_94",6
"inaug_BenjaminHarrison_1_95",6
"inaug_BenjaminHarrison_1_96",6
"inaug_BenjaminHarrison_1_97",1
"inaug_BenjaminHarrison_1_98",1
"inaug_BenjaminHarrison_1_99",6
"inaug_BenjaminHarrison_1_100",6
"inaug_BenjaminHarrison_1_101",6
"inaug_BenjaminHarrison_1_102",6
"inaug_BenjaminHarrison_1_103",6
"inaug_BenjaminHarrison_1_104",6
"inaug_BenjaminHarrison_1_105",6
"inaug_BenjaminHarrison_1_106",6
"inaug_BenjaminHarrison_1_107",6
"inaug_BenjaminHarrison_1_108",6
"inaug_BenjaminHarrison_1_109",6
"inaug_BenjaminHarrison_1_110",6
"inaug_BenjaminHarrison_1_111",6
"inaug_BenjaminHarrison_1_112",3
"inaug_BenjaminHarrison_1_113",5
"inaug_BenjaminHarrison_1_114",5
"inaug_BenjaminHarrison_1_115",5
"inaug_BenjaminHarrison_1_116",5
"inaug_BenjaminHarrison_1_117",5
"inaug_BenjaminHarrison_1_118",5
"inaug_BenjaminHarrison_1_119",5
"inaug_BenjaminHarrison_1_120",5
"inaug_BenjaminHarrison_1_121",5
"inaug_BenjaminHarrison_1_122",5
"inaug_BenjaminHarrison_1_123",5
"inaug_BenjaminHarrison_1_124",13
"inaug_BenjaminHarrison_1_125",13
"inaug_BenjaminHarrison_1_126",13
"inaug_BenjaminHarrison_1_127",4
"inaug_BenjaminHarrison_1_128",13
"inaug_BenjaminHarrison_1_129",5
"inaug_BenjaminHarrison_1_130",13
"inaug_BenjaminHarrison_1_131",5
"inaug_BenjaminHarrison_1_132",2
"inaug_BenjaminHarrison_1_133",4
"inaug_BenjaminHarrison_1_134",2
"inaug_BenjaminHarrison_1_135",2
"inaug_BenjaminHarrison_1_136",2
"inaug_BenjaminHarrison_1_137",2
"inaug_BenjaminHarrison_1_138",11
"inaug_BenjaminHarrison_1_139",11
"inaug_BenjaminHarrison_1_140",2
"inaug_BenjaminHarrison_1_141",2
"inaug_BenjaminHarrison_1_142",2
"inaug_BenjaminHarrison_1_143",11
"inaug_BenjaminHarrison_1_144",11
"inaug_BenjaminHarrison_1_145",13
"inaug_BenjaminHarrison_1_146",13
"inaug_BenjaminHarrison_1_147",13
"inaug_BenjaminHarrison_1_148",11
"inaug_BenjaminHarrison_1_149",11
"inaug_BenjaminHarrison_1_150",11
"inaug_BenjaminHarrison_1_151",11
"inaug_BenjaminHarrison_1_152",11
"inaug_BenjaminHarrison_1_153",7
"inaug_BenjaminHarrison_1_154",7
"inaug_BenjaminHarrison_1_155",7
"inaug_BenjaminHarrison_1_156",7
"inaug_BenjaminHarrison_1_157",7
"inaug_BenjaminHarrison_1_158",1
"inaug_BenjaminHarrison_1_159",1
"inaug_BenjaminHarrison_1_160",1
"inaug_BenjaminHarrison_1_161",13
"inaug_BenjaminHarrison_1_162",4
"inaug_WilliamMcKinley_1_2",3
"inaug_WilliamMcKinley_1_3",3
"inaug_WilliamMcKinley_1_4",3
"inaug_WilliamMcKinley_1_5",3
"inaug_WilliamMcKinley_1_6",5
"inaug_WilliamMcKinley_1_7",5
"inaug_WilliamMcKinley_1_8",5
"inaug_WilliamMcKinley_1_9",5
"inaug_WilliamMcKinley_1_10",5
"inaug_WilliamMcKinley_1_11",5
"inaug_WilliamMcKinley_1_12",5
"inaug_WilliamMcKinley_1_13",10
"inaug_WilliamMcKinley_1_14",6
"inaug_WilliamMcKinley_1_15",10
"inaug_WilliamMcKinley_1_16",11
"inaug_WilliamMcKinley_1_17",11
"inaug_WilliamMcKinley_1_18",15
"inaug_WilliamMcKinley_1_19",5
"inaug_WilliamMcKinley_1_20",5
"inaug_WilliamMcKinley_1_21",5
"inaug_WilliamMcKinley_1_22",5
"inaug_WilliamMcKinley_1_23",5
"inaug_WilliamMcKinley_1_24",5
"inaug_WilliamMcKinley_1_25",5
"inaug_WilliamMcKinley_1_26",5
"inaug_WilliamMcKinley_1_27",5
"inaug_WilliamMcKinley_1_28",5
"inaug_WilliamMcKinley_1_29",5
"inaug_WilliamMcKinley_1_30",5
"inaug_WilliamMcKinley_1_31",5
"inaug_WilliamMcKinley_1_32",5
"inaug_WilliamMcKinley_1_33",5
"inaug_WilliamMcKinley_1_34",5
"inaug_WilliamMcKinley_1_35",5
"inaug_WilliamMcKinley_1_36",5
"inaug_WilliamMcKinley_1_37",4
"inaug_WilliamMcKinley_1_38",5
"inaug_WilliamMcKinley_1_39",5
"inaug_WilliamMcKinley_1_40",5
"inaug_WilliamMcKinley_1_41",5
"inaug_WilliamMcKinley_1_42",5
"inaug_WilliamMcKinley_1_43",5
"inaug_WilliamMcKinley_1_44",5
"inaug_WilliamMcKinley_1_45",5
"inaug_WilliamMcKinley_1_46",11
"inaug_WilliamMcKinley_1_47",13
"inaug_WilliamMcKinley_1_48",6
"inaug_WilliamMcKinley_1_49",5
"inaug_WilliamMcKinley_1_50",5
"inaug_WilliamMcKinley_1_51",7
"inaug_WilliamMcKinley_1_52",7
"inaug_WilliamMcKinley_1_53",7
"inaug_WilliamMcKinley_1_54",7
"inaug_WilliamMcKinley_1_55",7
"inaug_WilliamMcKinley_1_56",7
"inaug_WilliamMcKinley_1_57",5
"inaug_WilliamMcKinley_1_58",5
"inaug_WilliamMcKinley_1_59",5
"inaug_WilliamMcKinley_1_60",15
"inaug_WilliamMcKinley_1_61",5
"inaug_WilliamMcKinley_1_62",5
"inaug_WilliamMcKinley_1_63",5
"inaug_WilliamMcKinley_1_64",4
"inaug_WilliamMcKinley_1_65",4
"inaug_WilliamMcKinley_1_66",4
"inaug_WilliamMcKinley_1_67",1
"inaug_WilliamMcKinley_1_68",12
"inaug_WilliamMcKinley_1_69",12
"inaug_WilliamMcKinley_1_70",12
"inaug_WilliamMcKinley_1_71",2
"inaug_WilliamMcKinley_1_72",2
"inaug_WilliamMcKinley_1_73",2
"inaug_WilliamMcKinley_1_74",15
"inaug_WilliamMcKinley_1_75",7
"inaug_WilliamMcKinley_1_76",7
"inaug_WilliamMcKinley_1_77",2
"inaug_WilliamMcKinley_1_78",2
"inaug_WilliamMcKinley_1_79",2
"inaug_WilliamMcKinley_1_80",13
"inaug_WilliamMcKinley_1_81",3
"inaug_WilliamMcKinley_1_82",4
"inaug_WilliamMcKinley_1_83",4
"inaug_WilliamMcKinley_1_84",12
"inaug_WilliamMcKinley_1_85",8
"inaug_WilliamMcKinley_1_86",6
"inaug_WilliamMcKinley_1_87",6
"inaug_WilliamMcKinley_1_88",6
"inaug_WilliamMcKinley_1_89",6
"inaug_WilliamMcKinley_1_90",10
"inaug_WilliamMcKinley_1_91",13
"inaug_WilliamMcKinley_1_92",13
"inaug_WilliamMcKinley_1_93",13
"inaug_WilliamMcKinley_1_94",13
"inaug_WilliamMcKinley_1_95",1
"inaug_WilliamMcKinley_1_96",1
"inaug_WilliamMcKinley_1_97",1
"inaug_WilliamMcKinley_1_98",1
"inaug_WilliamMcKinley_1_99",1
"inaug_WilliamMcKinley_1_100",1
"inaug_WilliamMcKinley_1_101",1
"inaug_WilliamMcKinley_1_102",1
"inaug_WilliamMcKinley_1_103",1
"inaug_WilliamMcKinley_1_104",1
"inaug_WilliamMcKinley_1_105",1
"inaug_WilliamMcKinley_1_106",1
"inaug_WilliamMcKinley_1_107",1
"inaug_WilliamMcKinley_1_108",1
"inaug_WilliamMcKinley_1_109",1
"inaug_WilliamMcKinley_1_110",13
"inaug_WilliamMcKinley_1_111",5
"inaug_WilliamMcKinley_1_112",5
"inaug_WilliamMcKinley_1_113",5
"inaug_WilliamMcKinley_1_114",5
"inaug_WilliamMcKinley_1_115",5
"inaug_WilliamMcKinley_1_116",7
"inaug_WilliamMcKinley_1_117",7
"inaug_WilliamMcKinley_1_118",7
"inaug_WilliamMcKinley_1_119",7
"inaug_WilliamMcKinley_1_120",7
"inaug_WilliamMcKinley_1_121",10
"inaug_WilliamMcKinley_1_122",10
"inaug_WilliamMcKinley_1_123",10
"inaug_WilliamMcKinley_1_124",10
"inaug_WilliamMcKinley_1_125",11
"inaug_WilliamMcKinley_1_126",11
"inaug_WilliamMcKinley_1_127",11
"inaug_WilliamMcKinley_1_128",7
"inaug_WilliamMcKinley_1_129",11
"inaug_WilliamMcKinley_1_130",11
"inaug_WilliamMcKinley_1_131",7
"inaug_WilliamMcKinley_1_132",11
"inaug_WilliamMcKinley_1_133",7
"inaug_WilliamMcKinley_1_134",3
"inaug_WilliamMcKinley_1_135",3
"inaug_WilliamMcKinley_1_136",3
"inaug_WilliamMcKinley_1_137",3
"inaug_WilliamMcKinley_1_138",6
"inaug_WilliamMcKinley_1_139",6
"inaug_TheodoreRoosevelt_1_2",11
"inaug_TheodoreRoosevelt_1_3",9
"inaug_TheodoreRoosevelt_1_4",4
"inaug_TheodoreRoosevelt_1_5",13
"inaug_TheodoreRoosevelt_1_6",15
"inaug_TheodoreRoosevelt_1_7",15
"inaug_TheodoreRoosevelt_1_8",15
"inaug_TheodoreRoosevelt_1_9",15
"inaug_TheodoreRoosevelt_1_10",15
